Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Timon,WOCOMPANY_046,SDPLDEAL-081,Proof of Concept,,Completed,,2025-06-27,Purchase Order,2025-07-01,2025-08-17,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography",SPECTRA,2025-11-03,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45days,,45,Fully Billed,,Dec,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-082,Proof of Concept,,Pause / struck,,2025-06-19,Purchase Order,2025-07-01,2025-08-17,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography, Others",SPECTRA,2025-11-03,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45 days,,45,Fully Billed,,,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-083,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-02,SDPL/FY25-26/114,143051.2,168800.416,130176.592,153608.3786,26035.3184,12874.608,15192.03744,127573.0602,,726.976,800,,800,Fully Billed,,July,,Closed,,,
Tuxedo Mask,WOCOMPANY_041,SDPLDEAL-084,One time Project,,Completed,,2025-06-21,Purchase Order,2025-07-01,2025-07-10,OWNER_003,Renewables,Others,NONE,2025-07-04,SDPL/FY25-26/120,215810,254655.8,215810,254655.8,,0,0,254655.8,Priority,,1,1,0,Fully Billed,,,,Closed,,,
Luffy,WOCOMPANY_032,SDPLDEAL-085,One time Project,,Completed,,2025-06-21,LOA/LOI,2025-06-01,2025-06-30,OWNER_003,Renewables,Thermography,NONE,,,#VALUE!,0,,0,,0,0,0,,,1,,1,,,,,Open,,,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-086,Annual Rate Contract,,Completed,,2024-07-22,Purchase Order,2024-07-30,2025-07-30,OWNER_001,Mining,Volumetric survey,NONE,,,710616.2083,838527.1258,710616.2083,838527.1258,767463.522,0,0,71063.60382,Priority,,8 units,,8,Fully Billed,,,,Closed,,,
Alias_162,WOCOMPANY_052,SDPLDEAL-087,Annual Rate Contract,Dec,Executed until current month,,2025-08-08,Purchase Order,2025-04-01,2026-03-31,OWNER_001,Mining,Volumetric survey,NONE,2025-12-09,SDPL/FY25-26/572,1065928.752,1257795.927,838526.672,989461.473,618232.7568,227402.08,268334.4544,371228.7162,,,12 months,,12,Fully Billed,,,,,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-088,One time Project,,Completed,,2025-04-26,Purchase Order,2025-04-28,2025-08-15,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-09-03,SDPL/FY25-26/419,154150,181897,154150,181897,166482,0,0,15415,,,200 Acres,,200,Fully Billed,,September,,Closed,,,
Obito,WOCOMPANY_023,SDPLDEAL-089,Annual Rate Contract,,Completed,,2025-07-09,LOA/LOI,2025-06-21,2026-06-20,OWNER_003,Mining,Others,NONE,,,0,0,,0,,0,0,0,,,1,,1,,,,,,,,Not Billable
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-090,One time Project,,Completed,,2025-04-15,Purchase Order,2025-05-12,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06,SDPL/FY25-26/387,223971.3176,264286.1548,223971.3176,264286.1548,264287.092,0,0,-0.937232,,609.44,660.43HA,660.43,0,Fully Billed,,August,,Closed,,,
Rafiki,WOCOMPANY_048,SDPLDEAL-091,Proof of Concept,,Completed,,2025-07-08,Email Confirmation,2025-06-11,2025-06-19,OWNER_003,Mining,Thermography,NONE,,,0,0,,0,,0,0,0,,,3 Rooftops,,3,,,,,,,,Not Billable
Alias_160,WOCOMPANY_051,SDPLDEAL-092,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/390,357628,422001.04,321686.386,379589.9355,347420.6186,35941.614,42411.10452,32169.31686,,2173.17,2000,,2000,Fully Billed,,August,,Closed,,,
Obito,WOCOMPANY_023,SDPLDEAL-093,One time Project,,Completed,,2025-07-15,LOA/LOI,2025-07-21,2025-07-25,OWNER_003,Mining,Others,NONE,,,76458.4,90220.912,,0,,76458.4,90220.912,0,,,1,,1,,,,,,,,Update Required
GG go,WOCOMPANY_035,SDPLDEAL-094,One time Project,,Completed,,2025-07-10,Purchase Order,2025-07-15,2025-07-31,OWNER_003,Renewables,Hydrology,NONE,,,749785.6,884747.008,,0,,749785.6,884747.008,0,,,1415 Acres,,1415,,,,,,,,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-095,One time Project,,Completed,,2025-07-17,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28,SDPL/FY25-26/373,155665.6028,183685.4113,155665.6028,183685.4113,3115.0632,0,0,180570.3481,,813.635,870.45 HA,,870.45,Fully Billed,,July,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-096,One time Project,,Completed,,2025-07-16,Purchase Order,2025-07-14,2025-07-28,OWNER_001,Renewables,Topography Survey: RGB,NONE,2025-08-20,SDPL/FY25-26/413,986560,1164140.8,986560,1164140.8,,0,0,1164140.8,,,4 Sites,,4,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-097,One time Project,,Completed,,2025-04-10,,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-07-25,SDPL/FY25-26/370,84190.564,99344.86552,79060.452,93291.33336,85383.90698,5130.112,6053.53216,7907.426384,,442.14,446 HA,,446,Fully Billed,,July,,Closed,,,
Erwin,WOCOMPANY_021,SDPLDEAL-098,One time Project,,Completed,,2025-05-22,Purchase Order,2025-05-26,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-20,SDPL/FY25-26/405,319811.922,377378.068,319811.922,377378.068,,0,0,377378.068,,,960.5 HA,,960.5,Fully Billed,,August,,Closed,,,
Goku,WOCOMPANY_003,SDPLDEAL-099,One time Project,,Ongoing,,2025-07-23,Purchase Order,2025-07-28,2025-09-30,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,2025-09-01,SDPL/FY25-26/424,14391444,16981903.92,246640,291035.2,291035.2,14144804,16690868.72,0,,,778,,778,,,,,,,,Partially Billed
Erwin,WOCOMPANY_021,SDPLDEAL-100,Annual Rate Contract,,Completed,,2025-05-28,Purchase Order,2025-07-01,2025-07-15,OWNER_001,Mining,Volumetric survey,SPECTRA,2025-08-20,SDPL/FY25-26/406,791874.716,934412.1649,594265.4161,701233.191,,197609.2999,233178.9738,701233.191,,,2379.7 HA,,2379.7,Fully Billed,,Dec,,Open,,,
Nami,WOCOMPANY_002,SDPLDEAL-102,One time Project,,Completed,,2025-08-02,Purchase Order,2025-08-04,2025-08-09,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0,,64373.04,75960.1872,0,,,1,,1,,,,,,,,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-103,One time Project,,Completed,,2025-08-01,Purchase Order,2025-07-01,2025-07-31,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,487114,574794.52,,0,,487114,574794.52,0,,,1,,1,,,,,,,,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-105,One time Project,,Completed,,2025-08-06,Purchase Order,2025-05-01,2025-05-29,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06,2025-08-06,20563.61,24265.0598,20251.6104,23896.90027,23896.9496,311.9996,368.159528,-0.049328,,,115HA,,115,Fully Billed,,August,,Closed,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-106,One time Project,,Completed,,2025-08-08,Purchase Order,2025-08-08,2025-08-20,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-09-12,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,,,1,,1,Fully Billed,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-108,One time Project,,Completed,,2025-08-18,Purchase Order,2025-08-14,2025-08-30,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,2025-09-24,SDPL/FY25-26/476,477247.7957,563152.399,477247.7957,563152.399,563151.8788,0,0,0.52016376,,,537 Acres,,537,Fully Billed,,November,,Closed,,,
Rafiki,WOCOMPANY_048,SDPLDEAL-109,Annual Rate Contract,,Ongoing,,2025-08-11,Purchase Order,2025-09-01,2027-08-31,OWNER_003,Renewables,"Topography Survey: RGB, Thermography",NONE,,,616600,727588,,0,,616600,727588,0,,,1,,1,,,,,,,,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-111,,,,,2024-11-22,,,,,Mining,Others,DMO,,,863240,1018623.2,739920,873105.6,864473.2,123320,145517.6,8632.4,,,,,,,,,,,,,
Ben Tennyson,WOCOMPANY_034,SDPLDEAL-112,,,Completed,,2024-05-16,,,,,Renewables,"Topography Survey: RGB, Hydrology",,,,215810,254655.8,215810,254655.8,254655.8,0,0,0,,,,,,,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-113,,,,,2024-12-20,,,,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",,,,607351,716674.18,607351,716674.18,716674.18,0,0,0,,,,,,,,,,,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-115,,,Completed,,2025-03-24,,,,,Renewables,Hydrology,,,,616600,727588,616600,727588,727588,0,0,0,,,,,,Fully Billed,,,,,,,
Ace,WOCOMPANY_013,SDPLDEAL-116,,,Completed,,2025-03-05,,,,,Others,Topography Survey: RGB,,,,176347.6,208090.168,176347.6,208090.168,,0,0,208090.168,,,,,,Fully Billed,,,,,,,
Shanks,WOCOMPANY_012,SDPLDEAL-117,,,Completed,,2025-03-31,,,,,Renewables,Thermography,,,,221636.87,261531.5066,221636.87,261531.5066,,0,0,261531.5066,,,,,,Fully Billed,,,,,,,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-118,,,Completed,,2025-03-25,,,,,Renewables,Topography Survey: RGB,,,,308300,363794,308300,363794,,0,0,363794,,,,,,Fully Billed,,,,,,,
