Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,,Partial Completed,2026-01-09,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,924900,1091382,,0,,924900,1091382,0,,,1,,1,,,,,,,,
Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,,Not Started,,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Mining,"Topography Survey: RGB, LiDAR Survey: LiDAR",NONE,,,141818,167345.24,,0,,141818,167345.24,0,,,1,,1,,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,,Completed,2025-11-28,2025-11-27,Purchase Order,2025-11-27,2025-12-23,OWNER_001,Renewables,Topography Survey: RGB,SPECTRA,2025-12-19,SDPL/FY25-26/894,511777.963,603897.9963,511778.0123,603898.0546,552719.0068,-0.049328,-0.05820704,51179.04775,,,497Acres,,497,Fully Billed,,November,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,,Completed,2025-12-19,2025-11-28,Purchase Order,2025-11-25,2025-12-25,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,,709081.3676,836716.0138,,0,,709081.3676,836716.0138,0,,,415Acers,,415,Fully Billed,,November,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,,Completed,2025-11-07,2025-11-28,Purchase Order,2025-11-13,2025-12-03,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,SDPL/FY25-26/900,487112.7668,574793.0648,487116.0224,574796.9065,,-3.255648,-3.84166464,574796.9065,,,230Acres,,230,Fully Billed,,November,,,,,
Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,,Completed,2026-01-06,2025-12-05,Purchase Order,2025-12-11,2025-12-31,OWNER_003,Mining,Mine survey,NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,,40 Acres,,40,,,,,,,,Update Required
Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2026-01-16,OWNER_002,Powerline,Thermography,NONE,,,608584.2,718129.356,,0,,608584.2,718129.356,0,,,105 Towers,,105,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,,Not Started,,2025-12-13,Purchase Order,2025-12-13,2026-01-31,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,680726.4,803257.152,,0,,680726.4,803257.152,0,,,1,,1,,,,,,,,
Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,,Completed,2026-01-06,2025-12-20,Purchase Order,2025-12-16,2026-01-31,OWNER_003,Renewables,Hydrology,NONE,,,308300,363794,,0,,308300,363794,0,,,1,,1,,,,,,,,Update Required
Erwin,WOCOMPANY_021,SDPLDEAL-171,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2025-12-31,OWNER_001,Mining,"Topography Survey: RGB, Raw images/videography",NONE,,,425454,502035.72,,0,,425454,502035.72,0,,,10.5 KM,,10.5,Not billed yet,,,,,,,
