Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date
Sesshomaru,OWNER_002,COMPANY125,Dead,,,3383159.775,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
Sesshomaru,OWNER_003,COMPANY154,Dead,,,3058500,2025-07-04,I. POC,Pure Service,Mining,2025-05-13
Kirito,OWNER_003,COMPANY186,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Mining,2025-05-14
Asuna,OWNER_003,COMPANY005,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Construction,2025-05-14
Rem,OWNER_003,COMPANY199,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-05-14
Emilia,OWNER_003,COMPANY071,Dead,,,550530,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14
Subaru,OWNER_003,COMPANY027,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14
Subaru,OWNER_003,COMPANY186,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Mining,2025-05-14
Subaru,OWNER_003,COMPANY101,Dead,,,3670200,2025-07-04,I. POC,Pure Service,Railways,2025-05-14
Subaru,OWNER_003,COMPANY066,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14
Subaru,OWNER_003,COMPANY198,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Others,2025-05-14
Subaru,OWNER_003,COMPANY176,Dead,,,,2025-06-30,N. Not relevant at the moment,Pure Service,Renewables,2025-05-14
Subaru,OWNER_003,COMPANY145,Dead,,,54441300,2025-07-28,L. Project Lost,Pure Service,Renewables,2025-05-14
Subaru,OWNER_003,COMPANY058,Dead,,,305850,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14
Subaru,OWNER_003,COMPANY155,Dead,,,,2025-06-30,N. Not relevant at the moment,Pure Service,Others,2025-05-14
Kaneki,OWNER_003,COMPANY133,Dead,,,550530,2025-07-28,M. Projects On Hold,Pure Service,Renewables,2025-05-14
Inosuke,OWNER_003,COMPANY018,Dead,,,550530,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-15
